Fake Bank Export
Account: Demo Checking
Generated: 2026-01-03
Currency: EUR
----
;01/02/2025;01/02/2025;Apartment Rent;Rent;-1200,00;EUR;8800,00
;05/02/2025;05/02/2025;City Utilities - Electric;Utilities;-90,00;EUR;8710,00
;09/02/2025;09/02/2025;City Utilities - Water;Utilities;-35,00;EUR;8675,00
;10/02/2025;10/02/2025;Fresh Mart Grocery;Card;-180,00;EUR;8495,00
;12/02/2025;12/02/2025;Neighborhood Pharmacy;Card;-34,00;EUR;8461,00
;14/02/2025;14/02/2025;Cafe Aurora;Card;-45,00;EUR;8416,00
;16/02/2025;16/02/2025;Transit Pass;Transit;-70,00;EUR;8346,00
;20/02/2025;20/02/2025;Green Grocers;Card;-95,00;EUR;8251,00
;22/02/2025;22/02/2025;Streaming Plus Subscription;Subscription;-19,99;EUR;8231,01
;23/02/2025;23/02/2025;Downtown Cinema;Card;-28,00;EUR;8203,01
;25/02/2025;25/02/2025;ACME Payroll;Payroll;3800,00;EUR;12003,01
;26/02/2025;26/02/2025;Online Shop Order;Card;-120,00;EUR;11883,01
;27/02/2025;27/02/2025;Savings Transfer;Transfer;-300,00;EUR;11583,01
;01/03/2025;01/03/2025;Apartment Rent;Rent;-1225,00;EUR;10358,01
;05/03/2025;05/03/2025;City Utilities - Electric;Utilities;-95,00;EUR;10263,01
;09/03/2025;09/03/2025;City Utilities - Water;Utilities;-38,00;EUR;10225,01
;10/03/2025;10/03/2025;Fresh Mart Grocery;Card;-192,00;EUR;10033,01
;12/03/2025;12/03/2025;Happy Paws Pet Food;Card;-43,00;EUR;9990,01
;14/03/2025;14/03/2025;Cafe Aurora;Card;-50,00;EUR;9940,01
;16/03/2025;16/03/2025;Transit Pass;Transit;-74,00;EUR;9866,01
;20/03/2025;20/03/2025;Green Grocers;Card;-103,00;EUR;9763,01
;22/03/2025;22/03/2025;Streaming Plus Subscription;Subscription;-19,99;EUR;9743,02
;23/03/2025;23/03/2025;Downtown Cinema;Card;-31,00;EUR;9712,02
;25/03/2025;25/03/2025;ACME Payroll;Payroll;3950,00;EUR;13662,02
;26/03/2025;26/03/2025;Online Shop Order;Card;-130,00;EUR;13532,02
